change,changeOverTime,changePercent,close,fClose,fHigh,fLow,fOpen,fVolume,high,id,key,label,low,marketChangeOverTime,open,subkey,symbol,uClose,uHigh,uLow,uOpen,uVolume,updated,volume
0.0,0.0,0.0,1155.41,1155.41,1178.98,1137.02,1150.0,1160189,1178.98,HISTORICAL_PRICES,SHOP,"Apr 1, 21",1137.02,0.0,1150.0,,SHOP,1155.41,1178.98,1137.02,1150.0,1160189,2021-04-02 00:48:24,1160189
-48.91000000000008,-0.042331293653335246,-0.0423,1106.5,1106.5,1119.5,1065.0,1068.01,1383834,1119.5,HISTORICAL_PRICES,SHOP,"Mar 31, 21",1065.0,-0.042331293653335246,1068.01,,SHOP,1106.5,1119.5,1065.0,1068.01,1383834,2021-04-01 00:48:29,1383834
-57.819999999999936,-0.09237413558823276,-0.0523,1048.68,1048.68,1074.1873,1012.8,1028.46,1513285,1074.1873,HISTORICAL_PRICES,SHOP,"Mar 30, 21",1012.8,-0.09237413558823276,1028.46,,SHOP,1048.68,1074.1873,1012.8,1028.46,1513285,2021-03-31 01:16:36,1513285
-8.769999999999982,-0.09996451476099392,-0.0084,1039.91,1039.91,1075.8276,1028.6,1053.6,1055183,1075.8276,HISTORICAL_PRICES,SHOP,"Mar 29, 21",1028.6,-0.09996451476099392,1053.6,,SHOP,1039.91,1075.8276,1028.6,1053.6,1055183,2021-03-30 01:00:25,1055183
25.299999999999955,-0.07806752581334768,0.0243,1065.21,1065.21,1084.98,1005.14,1052.6,2840193,1084.98,HISTORICAL_PRICES,SHOP,"Mar 26, 21",1005.14,-0.07806752581334768,1052.6,,SHOP,1065.21,1084.98,1005.14,1052.6,2840193,2021-03-27 01:16:25,2840193
-3.5299999999999727,-0.0811227183424066,-0.0033,1061.68,1061.68,1103.99,1051.2501,1090.08,1768208,1103.99,HISTORICAL_PRICES,SHOP,"Mar 25, 21",1051.2501,-0.0811227183424066,1090.08,,SHOP,1061.68,1103.99,1051.2501,1090.08,1768208,2021-03-26 00:48:26,1768208
44.32999999999993,-0.04275538553413947,0.0418,1106.01,1106.01,1185.0,1102.35,1176.81,1070782,1185.0,HISTORICAL_PRICES,SHOP,"Mar 24, 21",1102.35,-0.04275538553413947,1176.81,,SHOP,1106.01,1185.0,1102.35,1176.81,1070782,2021-03-25 00:48:24,1070782
55.99000000000001,0.005703603049999496,0.0506,1162.0,1162.0,1168.47,1142.3,1165.0,896658,1168.47,HISTORICAL_PRICES,SHOP,"Mar 23, 21",1142.3,0.005703603049999496,1165.0,,SHOP,1162.0,1168.47,1142.3,1165.0,896658,2021-03-24 01:00:17,896658
-2.0,0.003972615781410857,-0.0017,1160.0,1160.0,1160.83,1120.38,1123.14,904072,1160.83,HISTORICAL_PRICES,SHOP,"Mar 22, 21",1120.38,0.003972615781410857,1123.14,,SHOP,1160.0,1160.83,1120.38,1123.14,904072,2021-03-23 00:48:31,904072
-39.049999999999955,-0.02982491063778229,-0.0337,1120.95,1120.95,1137.36,1104.36,1118.98,811327,1137.36,HISTORICAL_PRICES,SHOP,"Mar 19, 21",1104.36,-0.02982491063778229,1118.98,,SHOP,1120.95,1137.36,1104.36,1118.98,811327,2021-03-20 01:16:21,811327
