change,changeOverTime,changePercent,close,fClose,fHigh,fLow,fOpen,fVolume,high,id,key,label,low,marketChangeOverTime,open,subkey,symbol,uClose,uHigh,uLow,uOpen,uVolume,updated,volume
0.54,-0.020081301,0.0045,120.53,120.53,123.18,120.32,122.88,121469755,123.18,HISTORICAL_PRICES,AAPL,18-Mar-21,120.32,-0.020081301,122.88,,AAPL,120.53,123.18,120.32,122.88,121469755,3/19/2021 1:00,121469755
4.23,0.014308943,0.0351,124.76,124.76,125.8599,122.336,124.05,111932636,125.8599,HISTORICAL_PRICES,AAPL,17-Mar-21,122.336,0.014308943,124.05,,AAPL,124.76,125.8599,122.336,124.05,111932636,3/18/2021 2:00,111932636
0.81,0.020894309,0.0065,125.57,125.57,127.22,124.715,125.7,115227936,127.22,HISTORICAL_PRICES,AAPL,16-Mar-21,124.715,0.020894309,125.7,,AAPL,125.57,127.22,124.715,125.7,115227936,3/17/2021 1:16,115227936
-1.58,0.00804878,-0.0126,123.99,123.99,124,120.42,121.41,92590555,124,HISTORICAL_PRICES,AAPL,15-Mar-21,120.42,0.00804878,121.41,,AAPL,123.99,124,120.42,121.41,92590555,3/16/2021 1:48,92590555
-2.96,-0.01601626,-0.0239,121.03,121.03,121.17,119.16,120.4,88105050,121.17,HISTORICAL_PRICES,AAPL,12-Mar-21,119.16,-0.01601626,120.4,,AAPL,121.03,121.17,119.16,120.4,88105050,3/13/2021 2:16,88105050
0.93,-0.008455285,0.0077,121.96,121.96,123.21,121.26,122.54,103026514,123.21,HISTORICAL_PRICES,AAPL,11-Mar-21,121.26,-0.008455285,122.54,,AAPL,121.96,123.21,121.26,122.54,103026514,3/12/2021 2:00,103026514
-1.98,-0.024552846,-0.0162,119.98,119.98,122.17,119.45,121.69,111943326,122.17,HISTORICAL_PRICES,AAPL,10-Mar-21,119.45,-0.024552846,121.69,,AAPL,119.98,122.17,119.45,121.69,111943326,3/11/2021 1:48,111943326
1.105,-0.015569106,0.0092,121.085,121.085,122.06,118.79,119.03,129525780,122.06,HISTORICAL_PRICES,AAPL,9-Mar-21,118.79,-0.015569106,119.03,,AAPL,121.085,122.06,118.79,119.03,129525780,3/10/2021 1:48,129525780
-4.725,-0.05398374,-0.039,116.36,116.36,121,116.21,120.93,154376610,121,HISTORICAL_PRICES,AAPL,8-Mar-21,116.21,-0.05398374,120.93,,AAPL,116.36,121,116.21,120.93,154376610,3/9/2021 2:16,154376610
5.06,-0.012845528,0.0435,121.42,121.42,121.935,117.57,120.98,153766601,121.935,HISTORICAL_PRICES,AAPL,5-Mar-21,117.57,-0.012845528,120.98,,AAPL,121.42,121.935,117.57,120.98,153766601,3/6/2021 2:16,153766601
-1.29,-0.023333333,-0.0106,120.13,120.13,123.6,118.62,121.75,178154975,123.6,HISTORICAL_PRICES,AAPL,4-Mar-21,118.62,-0.023333333,121.75,,AAPL,120.13,123.6,118.62,121.75,178154975,3/5/2021 2:00,178154975
1.93,-0.007642276,0.0161,122.06,122.06,125.71,121.84,124.81,112966340,125.71,HISTORICAL_PRICES,AAPL,3-Mar-21,121.84,-0.007642276,124.81,,AAPL,122.06,125.71,121.84,124.81,112966340,3/4/2021 2:00,112966340
3.06,0.017235772,0.0251,125.12,125.12,128.72,125.01,128.41,102260945,128.72,HISTORICAL_PRICES,AAPL,2-Mar-21,125.01,0.017235772,128.41,,AAPL,125.12,128.72,125.01,128.41,102260945,3/3/2021 2:00,102260945
2.67,0.038943089,0.0213,127.79,127.79,127.93,122.79,123.75,116307892,127.93,HISTORICAL_PRICES,AAPL,1-Mar-21,122.79,0.038943089,123.75,,AAPL,127.79,127.93,122.79,123.75,116307892,3/2/2021 2:16,116307892
-6.53,-0.014146341,-0.0511,121.26,121.26,124.85,121.2,122.59,164560394,124.85,HISTORICAL_PRICES,AAPL,26-Feb-21,121.2,-0.014146341,122.59,,AAPL,121.26,124.85,121.2,122.59,164560394,2/27/2021 2:16,164560394
-0.27,-0.016341463,-0.0022,120.99,120.99,126.4585,120.54,124.68,148199540,126.4585,HISTORICAL_PRICES,AAPL,25-Feb-21,120.54,-0.016341463,124.68,,AAPL,120.99,126.4585,120.54,124.68,148199540,2/26/2021 2:32,148199540
4.36,0.019105691,0.036,125.35,125.35,125.56,122.23,124.94,111039904,125.56,HISTORICAL_PRICES,AAPL,24-Feb-21,122.23,0.019105691,124.94,,AAPL,125.35,125.56,122.23,124.94,111039904,2/25/2021 2:00,111039904
0.51,0.023252033,0.0041,125.86,125.86,126.71,118.39,123.76,158273022,126.71,HISTORICAL_PRICES,AAPL,23-Feb-21,118.39,0.023252033,123.76,,AAPL,125.86,126.71,118.39,123.76,158273022,2/24/2021 2:00,158273022
0.14,0.024390244,0.0011,126,126,129.72,125.6,128.01,103916419,129.72,HISTORICAL_PRICES,AAPL,22-Feb-21,125.6,0.024390244,128.01,,AAPL,126,129.72,125.6,128.01,103916419,2/23/2021 5:00,103916419
3.87,0.055853659,0.0307,129.87,129.87,130.71,128.8,130.24,87668834,130.71,HISTORICAL_PRICES,AAPL,19-Feb-21,128.8,0.055853659,130.24,,AAPL,129.87,130.71,128.8,130.24,87668834,2/20/2021 2:16,87668834
-0.16,0.054552846,-0.0012,129.71,129.71,129.995,127.41,129.2,96856748,129.995,HISTORICAL_PRICES,AAPL,18-Feb-21,127.41,0.054552846,129.2,,AAPL,129.71,129.995,127.41,129.2,96856748,2/19/2021 2:00,96856748
1.13,0.063739837,0.0087,130.84,130.84,132.22,129.47,131.25,98085249,132.22,HISTORICAL_PRICES,AAPL,17-Feb-21,129.47,0.063739837,131.25,,AAPL,130.84,132.22,129.47,131.25,98085249,2/18/2021 2:48,98085249
2.35,0.082845528,0.018,133.19,133.19,136.01,132.79,135.49,80576316,136.01,HISTORICAL_PRICES,AAPL,16-Feb-21,132.79,0.082845528,135.49,,AAPL,133.19,136.01,132.79,135.49,80576316,2/17/2021 2:00,80576316
2.18,0.100569106,0.0164,135.37,135.37,135.53,133.6921,134.35,60145130,135.53,HISTORICAL_PRICES,AAPL,12-Feb-21,133.6921,0.100569106,134.35,,AAPL,135.37,135.53,133.6921,134.35,60145130,2/13/2021 2:16,60145130
-0.24,0.098617886,-0.0018,135.13,135.13,136.39,133.77,135.9,64280029,136.39,HISTORICAL_PRICES,AAPL,11-Feb-21,133.77,0.098617886,135.9,,AAPL,135.13,136.39,133.77,135.9,64280029,2/12/2021 1:48,64280029
0.26,0.100731707,0.0019,135.39,135.39,136.99,134.4,136.48,73046563,136.99,HISTORICAL_PRICES,AAPL,10-Feb-21,134.4,0.100731707,136.48,,AAPL,135.39,136.99,134.4,136.48,73046563,2/11/2021 3:48,73046563
0.62,0.105772358,0.0046,136.01,136.01,137.877,135.85,136.62,76774213,137.877,HISTORICAL_PRICES,AAPL,9-Feb-21,135.85,0.105772358,136.62,,AAPL,136.01,137.877,135.85,136.62,76774213,2/10/2021 4:16,76774213
0.9,0.113089431,0.0066,136.91,136.91,136.96,134.92,136.03,71297214,136.96,HISTORICAL_PRICES,AAPL,8-Feb-21,134.92,0.113089431,136.03,,AAPL,136.91,136.96,134.92,136.03,71297214,2/9/2021 1:48,71297214
-0.15,0.111869919,-0.0011,136.76,136.76,137.42,135.86,137.35,75693830,137.42,HISTORICAL_PRICES,AAPL,5-Feb-21,135.86,0.111869919,137.35,,AAPL,136.76,137.42,135.86,137.35,75693830,2/6/2021 2:16,75693830
0.63,0.11699187,0.0046,137.39,137.185,137.195,134.3892,136.0966,84183061,137.4,HISTORICAL_PRICES,AAPL,4-Feb-21,134.59,0.11699187,136.3,,AAPL,137.39,137.4,134.59,136.3,84183061,2/5/2021 2:16,84183061
-3.45,0.088943089,-0.0251,133.94,133.7401,135.5674,133.4106,135.5574,89880937,135.77,HISTORICAL_PRICES,AAPL,3-Feb-21,133.61,0.088943089,135.76,,AAPL,133.94,135.77,133.61,135.76,89880937,2/5/2021 2:17,89880937
1.05,0.097479675,0.0078,134.99,134.7886,136.1066,134.4091,135.5275,83305367,136.31,HISTORICAL_PRICES,AAPL,2-Feb-21,134.61,0.097479675,135.73,,AAPL,134.99,136.31,134.61,135.73,83305367,2/5/2021 2:17,83305367
-0.85,0.090569106,-0.0063,134.14,133.9398,135.178,130.7346,133.5504,106239823,135.38,HISTORICAL_PRICES,AAPL,1-Feb-21,130.93,0.090569106,133.75,,AAPL,134.14,135.38,130.93,133.75,106239823,2/5/2021 2:16,106239823
-2.18,0.072845528,-0.0163,131.96,131.7631,136.536,130.0157,135.6273,177523812,136.74,HISTORICAL_PRICES,AAPL,29-Jan-21,130.21,0.072845528,135.83,,AAPL,131.96,136.74,130.21,135.83,177523812,2/5/2021 2:16,177523812
5.13,0.114552846,0.0389,137.09,136.8854,141.7781,136.496,139.3118,142621128,141.99,HISTORICAL_PRICES,AAPL,28-Jan-21,136.7,0.114552846,139.52,,AAPL,137.09,141.99,136.7,139.52,142621128,2/5/2021 2:17,142621128
4.97,0.15495935,0.0363,142.06,141.848,144.0847,140.2005,143.216,140843759,144.3,HISTORICAL_PRICES,AAPL,27-Jan-21,140.41,0.15495935,143.43,,AAPL,142.06,144.3,140.41,143.43,140843759,2/5/2021 2:17,140843759
1.1,0.163902439,0.0077,143.16,142.9464,144.0847,141.1591,143.3857,98390555,144.3,HISTORICAL_PRICES,AAPL,26-Jan-21,141.37,0.163902439,143.6,,AAPL,143.16,144.3,141.37,143.6,98390555,2/5/2021 2:17,98390555
-0.24,0.16195122,-0.0017,142.92,142.7067,144.8735,136.3363,142.8565,157611713,145.09,HISTORICAL_PRICES,AAPL,25-Jan-21,136.54,0.16195122,143.07,,AAPL,142.92,145.09,136.54,143.07,157611713,2/5/2021 2:16,157611713
-3.85,0.130650407,-0.0269,139.07,138.8625,139.6413,134.8185,136.0767,114459360,139.85,HISTORICAL_PRICES,AAPL,22-Jan-21,135.02,0.130650407,136.28,,AAPL,139.07,139.85,135.02,136.28,114459360,2/5/2021 2:16,114459360
